Date,ArticleType-CommentOpinion,ArticleType-Feature,ArticleType-Interview,ArticleType-Letter,ArticleType-NewsItem,UserFeedback-StronglyUnfavourable,UserFeedback-SlightlyUnfavourable,UserFeedback-Neutral,UserFeedback-SlightlyFavourable,UserFeedback-StronglyFavourable,FSAMention-Yes,FSAMention-No,Campaign-FoodSafetyWeek,Campaign-FoodSecurity-FoodSustainability,Campaign-FHRS,Campaign-CampylobacterSurvey,Campaign-OurFoodCulture,Campaign-AllergyAwarenessCampaign,Campaign-RareBurgers,Campaign-FHRS-NI,Campaign-FreezerFoodFairy,Campaign-Acrylamide,MediaType-Consumer,MediaType-NationalPrint,MediaType-RegionalPrint,MediaType-Trade,MediaType-NationalOnline,MediaType-NationalBroadcast,MediaType-RegionalOnline,MediaType-RegionalBroadcast,Regions-England,Regions-Scotland,Regions-Wales,Regions-NorthernIreland,Regions-National,Regions-International,CoverageSource-Proactive,CoverageSource-Reactive,Reach-PercentAllUKAdults
2016-01,14,119,1,0,512,2,0,337,183,124,516,130,0,0,1,0,0,0,0,0,0,0,27,49,112,103,118,3,234,0,288,24,61,15,247,11,172,474,75
2016-02,8,143,1,5,599,0,3,464,201,88,588,168,0,0,0,0,0,0,0,0,0,0,31,86,124,96,146,3,270,0,353,8,56,16,303,20,242,514,79
2016-03,13,141,0,7,759,2,11,603,202,102,761,159,0,0,0,0,0,0,0,0,0,0,59,64,132,140,209,8,308,0,413,15,73,16,389,14,256,664,78
2016-04,5,141,1,1,802,6,4,539,239,162,773,177,0,0,263,12,0,54,0,0,0,0,48,74,172,113,183,6,354,0,481,29,84,14,324,18,375,575,73
2016-05,12,90,4,5,637,2,8,446,164,128,608,140,0,0,216,9,0,99,0,0,0,0,45,81,108,107,149,0,258,0,330,18,53,19,320,8,369,379,74
2016-06,6,46,0,3,632,1,10,470,142,64,591,96,2,0,135,3,0,11,0,0,0,0,43,41,89,116,148,3,247,0,334,18,39,20,263,13,368,319,73
2016-07,6,78,0,1,979,0,16,447,409,192,960,104,294,0,14,4,0,0,0,0,0,0,82,63,135,154,222,1,357,50,492,29,67,31,422,23,586,478,77
2016-08,7,79,1,2,643,11,5,364,189,163,650,82,0,2,10,10,1,0,127,0,0,0,57,52,130,98,178,3,196,18,319,16,46,17,323,11,366,366,77
2016-09,3,59,0,8,683,1,13,438,172,129,575,178,0,0,49,2,0,0,6,0,0,0,35,83,100,91,179,2,263,0,346,30,36,13,322,6,352,401,76
2016-10,2,61,5,6,482,4,4,342,149,57,456,100,0,0,34,1,0,0,1,33,0,0,36,39,113,97,107,4,157,3,240,4,23,40,242,7,227,329,76
2016-11,6,85,0,6,673,8,9,507,167,79,646,124,0,0,49,1,0,0,0,20,13,0,42,70,149,104,166,1,238,0,321,9,51,33,340,16,295,475,71
2016-12,4,95,0,4,939,9,3,689,197,144,934,108,0,0,63,3,0,0,0,1,60,0,41,92,190,108,240,38,328,5,431,49,89,21,439,13,422,620,78
